date,time,symbol,option_type,type,strike_offset,open,high,low,close,volume,oi,iv,spot
"=""05-02-26""",13:33:00,NIFTY,PUT,PE,ATM-8,101.15,101.85,98.85,98.85,260,204100.0,12.31063,25635.65
"=""05-02-26""",13:36:00,NIFTY,PUT,PE,ATM-8,98.85,98.85,97.6,97.6,195,203970.0,12.265044,25637.5
"=""05-02-26""",13:39:00,NIFTY,PUT,PE,ATM-8,97.6,98.65,97.6,98.65,260,203970.0,12.394175,25642.95
"=""05-02-26""",13:42:00,NIFTY,PUT,PE,ATM-8,97.4,99.5,97.4,99.25,1820,204035.0,12.336273,25635.8
"=""05-02-26""",13:45:00,NIFTY,PUT,PE,ATM-8,99.25,99.25,97.65,97.65,65,203905.0,12.317972,25641.3
"=""05-02-26""",13:48:00,NIFTY,PUT,PE,ATM-8,97.65,97.65,97.05,97.05,65,203905.0,12.278386,25640.8
"=""05-02-26""",13:51:00,NIFTY,PUT,PE,ATM-8,96.9,98.0,96.6,98.0,715,203710.0,12.243523,25633.9
"=""05-02-26""",13:54:00,NIFTY,PUT,PE,ATM-8,100.3,100.85,98.0,100.65,650,203450.0,12.309988,25627.6
"=""05-02-26""",13:57:00,NIFTY,PUT,PE,ATM-8,100.45,100.65,100.0,100.0,585,203450.0,12.373306,25635.25
"=""05-02-26""",14:00:00,NIFTY,PUT,PE,ATM-8,99.3,100.0,99.3,99.3,65,203450.0,12.249662,25628.65
"=""05-02-26""",14:03:00,NIFTY,PUT,PE,ATM-8,101.4,101.4,91.2,91.65,1820,1947205.0,12.364178,25620.0
"=""05-02-26""",14:06:00,NIFTY,PUT,PE,ATM-8,91.85,95.2,91.65,95.0,14820,1947400.0,12.283325,25598.4
"=""05-02-26""",14:09:00,NIFTY,PUT,PE,ATM-8,95.8,101.95,95.0,101.15,26780,1942850.0,12.462055,25585.4
"=""05-02-26""",14:12:00,NIFTY,PUT,PE,ATM-8,101.05,101.5,97.75,98.05,23335,1940640.0,12.438056,25596.95
"=""05-02-26""",14:15:00,NIFTY,PUT,PE,ATM-8,98.25,100.2,98.05,99.35,5525,1941290.0,12.478135,25594.35
"=""05-02-26""",14:18:00,NIFTY,PUT,PE,ATM-8,99.45,99.6,97.0,97.0,8970,1941940.0,12.422705,25600.3
"=""05-02-26""",14:21:00,NIFTY,PUT,PE,ATM-8,97.0,97.75,95.5,96.3,6370,1941030.0,12.384878,25600.4
"=""05-02-26""",14:24:00,NIFTY,PUT,PE,ATM-8,97.15,98.35,94.45,94.45,5395,1939925.0,12.355355,25606.3
"=""05-02-26""",14:27:00,NIFTY,PUT,PE,ATM-8,94.25,94.45,92.0,92.0,7865,1937520.0,12.286333,25611.9
"=""05-02-26""",14:30:00,NIFTY,PUT,PE,ATM-8,94.0,94.0,90.7,90.75,2990,1938495.0,12.335224,25621.5
"=""05-02-26""",14:33:00,NIFTY,PUT,PE,ATM-8,90.8,101.75,90.5,101.2,1300,199615.0,12.353058,25628.1
"=""05-02-26""",14:36:00,NIFTY,PUT,PE,ATM-8,101.2,101.2,99.45,99.75,1170,199485.0,12.400412,25637.95
"=""05-02-26""",14:39:00,NIFTY,PUT,PE,ATM-8,99.25,100.35,90.3,91.6,5460,1940380.0,12.426025,25624.7
"=""05-02-26""",14:42:00,NIFTY,PUT,PE,ATM-8,100.0,101.0,91.05,91.4,1040,1939665.0,12.406776,25624.05
"=""05-02-26""",14:45:00,NIFTY,PUT,PE,ATM-8,91.3,94.1,91.1,92.9,11440,1941225.0,12.370592,25614.25
"=""05-02-26""",14:48:00,NIFTY,PUT,PE,ATM-8,93.0,93.4,91.6,91.8,17810,1940835.0,12.409585,25622.35
"=""05-02-26""",14:51:00,NIFTY,PUT,PE,ATM-8,91.65,101.3,91.35,100.65,2730,198900.0,12.311834,25627.05
"=""05-02-26""",14:54:00,NIFTY,PUT,PE,ATM-8,100.05,100.65,97.15,97.35,4160,201045.0,12.268441,25637.9
"=""05-02-26""",14:57:00,NIFTY,PUT,PE,ATM-8,97.3,97.55,97.0,97.35,650,201045.0,12.362497,25645.2
"=""05-02-26""",15:00:00,NIFTY,PUT,PE,ATM-8,94.2,97.35,93.8,96.1,2925,200460.0,12.329556,25648.1
"=""05-02-26""",15:03:00,NIFTY,PUT,PE,ATM-8,96.05,96.1,90.7,90.7,2080,200460.0,12.163177,25659.25
"=""05-02-26""",15:06:00,NIFTY,PUT,PE,ATM-8,92.45,96.2,90.7,94.65,1170,200265.0,12.235697,25647.1
"=""05-02-26""",15:09:00,NIFTY,PUT,PE,ATM-8,95.95,96.6,94.65,96.6,520,200460.0,12.179933,25634.1
"=""05-02-26""",15:12:00,NIFTY,PUT,PE,ATM-8,96.0,96.6,95.0,95.0,260,200460.0,12.265394,25647.8
"=""05-02-26""",15:15:00,NIFTY,PUT,PE,ATM-8,95.65,98.2,95.0,96.45,975,200460.0,12.248124,25640.0
"=""05-02-26""",15:18:00,NIFTY,PUT,PE,ATM-8,97.6,98.6,96.45,98.6,2015,200655.0,12.202892,25627.1
"=""05-02-26""",15:21:00,NIFTY,PUT,PE,ATM-8,98.35,98.6,97.8,98.5,2015,201045.0,12.207489,25627.85
"=""05-02-26""",15:24:00,NIFTY,PUT,PE,ATM-8,98.5,98.5,97.35,98.5,3315,201045.0,12.380057,25641.2
"=""05-02-26""",15:27:00,NIFTY,PUT,PE,ATM-8,99.05,99.55,97.4,97.4,2145,200915.0,12.323952,25641.6
"=""06-02-26""",09:15:00,NIFTY,PUT,PE,ATM-8,94.95,101.7,94.45,94.7,56290,1923675.0,12.715022,25618.5
"=""06-02-26""",09:18:00,NIFTY,PUT,PE,ATM-8,103.55,105.65,91.75,96.2,33345,1930760.0,12.439162,25590.6
"=""06-02-26""",09:21:00,NIFTY,PUT,PE,ATM-8,95.0,97.65,94.05,96.65,12220,1932450.0,12.37482,25583.7
"=""06-02-26""",09:24:00,NIFTY,PUT,PE,ATM-8,96.4,97.2,94.0,97.05,16380,1936480.0,12.287357,25575.3
"=""06-02-26""",09:27:00,NIFTY,PUT,PE,ATM-8,95.95,97.05,86.1,88.0,8515,76960.0,12.418321,25574.35
"=""06-02-26""",09:30:00,NIFTY,PUT,PE,ATM-8,88.5,89.0,87.65,88.25,1300,76375.0,12.306545,25564.4
"=""06-02-26""",09:33:00,NIFTY,PUT,PE,ATM-8,86.8,88.25,86.4,87.8,2470,76050.0,12.175187,25556.2
"=""06-02-26""",09:36:00,NIFTY,PUT,PE,ATM-8,88.3,92.0,87.75,91.75,1755,74165.0,12.126947,25534.55
"=""06-02-26""",09:39:00,NIFTY,PUT,PE,ATM-8,92.15,92.9,89.45,90.45,2795,73385.0,12.126014,25540.25
"=""06-02-26""",09:42:00,NIFTY,PUT,PE,ATM-8,91.7,95.15,90.45,95.15,2145,73905.0,12.215752,25526.3
"=""06-02-26""",09:45:00,NIFTY,PUT,PE,ATM-8,94.8,95.15,88.6,88.6,3380,72930.0,12.294567,25561.65
"=""06-02-26""",09:48:00,NIFTY,PUT,PE,ATM-8,88.25,89.7,87.6,89.7,455,74035.0,12.3428,25560.3
"=""06-02-26""",09:51:00,NIFTY,PUT,PE,ATM-8,89.0,89.7,88.95,89.15,390,74165.0,12.296004,25559.15
"=""06-02-26""",09:54:00,NIFTY,PUT,PE,ATM-8,89.1,90.75,89.1,90.6,2470,74360.0,12.174271,25543.1
"=""06-02-26""",09:57:00,NIFTY,PUT,PE,ATM-8,91.15,91.15,88.0,88.0,325,74490.0,12.141495,25552.35
"=""06-02-26""",10:00:00,NIFTY,PUT,PE,ATM-8,87.2,92.0,87.05,92.0,4160,72280.0,12.102868,25531.3
"=""06-02-26""",10:03:00,NIFTY,PUT,PE,ATM-8,83.25,93.85,82.5,88.35,10920,72995.0,12.015325,25540.9
"=""06-02-26""",10:06:00,NIFTY,PUT,PE,ATM-8,88.35,94.25,88.35,92.05,3315,71045.0,12.15254,25534.8
"=""06-02-26""",10:09:00,NIFTY,PUT,PE,ATM-8,90.55,92.05,82.25,86.4,8255,848770.0,12.164128,25509.75
"=""06-02-26""",10:12:00,NIFTY,PUT,PE,ATM-8,85.3,87.45,82.85,85.55,11960,852150.0,12.191108,25515.8
"=""06-02-26""",10:15:00,NIFTY,PUT,PE,ATM-8,85.3,95.7,84.9,91.1,9815,70525.0,11.994873,25526.85
"=""06-02-26""",10:18:00,NIFTY,PUT,PE,ATM-8,90.65,91.1,87.6,89.7,1690,70655.0,12.172191,25546.7
"=""06-02-26""",10:21:00,NIFTY,PUT,PE,ATM-8,88.8,89.7,87.4,87.5,715,70525.0,12.131927,25553.6
"=""06-02-26""",10:24:00,NIFTY,PUT,PE,ATM-8,87.0,89.6,87.0,89.6,195,70655.0,12.083014,25540.2
"=""06-02-26""",10:27:00,NIFTY,PUT,PE,ATM-8,90.25,91.3,81.2,86.5,14950,872625.0,12.1333,25506.65
"=""06-02-26""",10:30:00,NIFTY,PUT,PE,ATM-8,87.15,90.1,85.95,87.1,15925,869310.0,12.210683,25509.85
"=""06-02-26""",10:33:00,NIFTY,PUT,PE,ATM-8,87.25,89.75,87.0,87.0,6045,872040.0,12.200081,25509.45
"=""06-02-26""",10:36:00,NIFTY,PUT,PE,ATM-8,86.65,88.5,85.35,86.05,7215,870480.0,12.255799,25518.2
"=""06-02-26""",10:39:00,NIFTY,PUT,PE,ATM-8,85.85,88.35,83.55,87.75,16315,871260.0,12.211017,25506.75
"=""06-02-26""",10:42:00,NIFTY,PUT,PE,ATM-8,87.7,88.8,86.5,88.1,14820,866385.0,12.176197,25502.4
"=""06-02-26""",10:45:00,NIFTY,PUT,PE,ATM-8,88.05,89.15,84.3,85.35,12090,864955.0,12.137945,25512.15
"=""06-02-26""",10:48:00,NIFTY,PUT,PE,ATM-8,85.75,88.05,85.35,87.05,11635,865475.0,12.113562,25502.3
"=""06-02-26""",10:51:00,NIFTY,PUT,PE,ATM-8,86.55,88.55,84.95,85.65,7475,864305.0,12.073649,25505.65
"=""06-02-26""",10:54:00,NIFTY,PUT,PE,ATM-8,86.5,88.95,85.3,85.3,17810,864630.0,12.05961,25506.15
"=""06-02-26""",10:57:00,NIFTY,PUT,PE,ATM-8,85.95,86.75,83.3,83.3,40235,875615.0,12.147989,25522.5
"=""06-02-26""",11:00:00,NIFTY,PUT,PE,ATM-8,92.0,94.55,88.25,88.5,3250,70330.0,12.030817,25540.7
"=""06-02-26""",11:03:00,NIFTY,PUT,PE,ATM-8,89.6,91.1,87.6,87.95,1560,70135.0,12.113329,25549.55
"=""06-02-26""",11:06:00,NIFTY,PUT,PE,ATM-8,88.55,88.95,87.45,87.5,520,70135.0,12.176017,25556.45
"=""06-02-26""",11:09:00,NIFTY,PUT,PE,ATM-8,87.05,88.25,85.0,86.25,3250,70070.0,12.193669,25563.6
"=""06-02-26""",11:12:00,NIFTY,PUT,PE,ATM-8,86.15,96.8,85.4,92.95,6565,2029755.0,12.084771,25576.4
"=""06-02-26""",11:15:00,NIFTY,PUT,PE,ATM-8,82.5,95.35,82.4,93.5,9555,2044380.0,12.104441,25575.45
"=""06-02-26""",11:18:00,NIFTY,PUT,PE,ATM-8,84.25,95.1,84.25,90.25,11830,2047825.0,12.06712,25586.95
"=""06-02-26""",11:21:00,NIFTY,PUT,PE,ATM-8,89.65,90.5,87.75,90.2,25610,2054130.0,12.086799,25588.65
"=""06-02-26""",11:24:00,NIFTY,PUT,PE,ATM-8,90.25,91.35,88.05,89.15,10920,2053805.0,12.108158,25595.0
"=""06-02-26""",11:27:00,NIFTY,PUT,PE,ATM-8,89.05,91.2,88.5,89.55,11765,2054000.0,12.048497,25588.55
"=""06-02-26""",11:30:00,NIFTY,PUT,PE,ATM-8,89.95,90.85,89.1,89.6,11245,2055495.0,12.01358,25585.6
"=""06-02-26""",11:33:00,NIFTY,PUT,PE,ATM-8,90.4,90.4,83.6,85.85,22100,2053805.0,11.985504,25600.5
"=""06-02-26""",11:36:00,NIFTY,PUT,PE,ATM-8,86.0,94.8,83.65,91.35,30030,202475.0,12.009982,25629.0
"=""06-02-26""",11:39:00,NIFTY,PUT,PE,ATM-8,90.75,93.1,90.05,90.35,7215,202085.0,12.06377,25637.55
"=""06-02-26""",11:42:00,NIFTY,PUT,PE,ATM-8,90.95,91.6,80.2,81.4,9360,2181075.0,12.015121,25623.8
"=""06-02-26""",11:45:00,NIFTY,PUT,PE,ATM-8,81.45,92.05,81.4,90.75,8450,201630.0,12.030788,25633.15
"=""06-02-26""",11:48:00,NIFTY,PUT,PE,ATM-8,91.05,91.55,90.7,90.7,2535,201825.0,12.091468,25638.0
"=""06-02-26""",11:51:00,NIFTY,PUT,PE,ATM-8,91.3,93.5,90.7,92.65,1040,201305.0,12.058692,25626.8
"=""06-02-26""",11:54:00,NIFTY,PUT,PE,ATM-8,92.65,93.35,83.0,84.25,2405,2214095.0,12.122188,25618.45
"=""06-02-26""",11:57:00,NIFTY,PUT,PE,ATM-8,84.15,94.0,82.8,92.5,4745,201435.0,12.122376,25632.25
"=""06-02-26""",12:00:00,NIFTY,PUT,PE,ATM-8,91.45,92.5,87.85,91.25,2665,201305.0,12.083109,25634.75
"=""06-02-26""",12:03:00,NIFTY,PUT,PE,ATM-8,93.4,93.4,83.05,86.15,4550,2229175.0,12.081322,25606.2
"=""06-02-26""",12:06:00,NIFTY,PUT,PE,ATM-8,86.5,87.0,85.65,86.4,14300,2225600.0,11.978578,25597.0
"=""06-02-26""",12:09:00,NIFTY,PUT,PE,ATM-8,86.05,88.0,86.05,87.4,9230,2224950.0,11.995049,25593.65
"=""06-02-26""",12:12:00,NIFTY,PUT,PE,ATM-8,87.3,87.6,83.6,83.95,9880,2226055.0,12.013061,25611.05
"=""06-02-26""",12:15:00,NIFTY,PUT,PE,ATM-8,83.2,88.35,83.2,88.35,9425,2227355.0,12.039737,25592.7
"=""06-02-26""",12:18:00,NIFTY,PUT,PE,ATM-8,87.95,88.35,84.95,87.05,8320,2224560.0,11.973264,25593.45
"=""06-02-26""",12:21:00,NIFTY,PUT,PE,ATM-8,87.75,90.55,87.05,90.0,26260,2225405.0,11.947402,25578.1
"=""06-02-26""",12:24:00,NIFTY,PUT,PE,ATM-8,81.55,84.3,81.4,83.5,1235,73190.0,12.042089,25563.7
"=""06-02-26""",12:27:00,NIFTY,PUT,PE,ATM-8,82.4,83.5,82.3,82.3,650,73190.0,12.097297,25573.75
"=""06-02-26""",12:30:00,NIFTY,PUT,PE,ATM-8,83.05,86.05,82.3,85.65,3640,73450.0,12.01161,25551.15
"=""06-02-26""",12:33:00,NIFTY,PUT,PE,ATM-8,86.0,89.4,85.65,88.3,7020,76830.0,12.129505,25548.05
"=""06-02-26""",12:36:00,NIFTY,PUT,PE,ATM-8,86.0,88.3,84.75,86.9,4225,77090.0,12.054156,25548.6
"=""06-02-26""",12:39:00,NIFTY,PUT,PE,ATM-8,87.25,87.3,86.8,86.8,455,77025.0,12.049355,25548.65
"=""06-02-26""",12:42:00,NIFTY,PUT,PE,ATM-8,86.8,89.75,86.8,89.35,1950,77870.0,12.133257,25543.45
"=""06-02-26""",12:45:00,NIFTY,PUT,PE,ATM-8,90.0,90.0,86.75,86.75,520,77870.0,12.272995,25566.2
"=""06-02-26""",12:48:00,NIFTY,PUT,PE,ATM-8,86.75,86.75,86.75,86.75,130,78065.0,11.958067,25541.7
"=""06-02-26""",12:51:00,NIFTY,PUT,PE,ATM-8,89.0,89.0,86.75,88.85,195,77935.0,12.089066,25542.2
"=""06-02-26""",12:54:00,NIFTY,PUT,PE,ATM-8,89.3,91.1,88.25,89.15,2600,78845.0,11.908296,25526.95
"=""06-02-26""",12:57:00,NIFTY,PUT,PE,ATM-8,89.15,89.15,84.7,84.7,1885,78650.0,12.030404,25556.7
"=""06-02-26""",13:00:00,NIFTY,PUT,PE,ATM-8,86.2,88.5,84.7,88.5,2340,79300.0,12.058232,25541.3
"=""06-02-26""",13:03:00,NIFTY,PUT,PE,ATM-8,88.8,88.8,85.95,85.95,3965,79950.0,12.251072,25568.0
"=""06-02-26""",13:06:00,NIFTY,PUT,PE,ATM-8,84.75,86.35,84.65,86.35,650,80145.0,12.157021,25558.75
"=""06-02-26""",13:09:00,NIFTY,PUT,PE,ATM-8,86.9,87.85,86.35,86.75,390,80145.0,12.197488,25560.0
"=""06-02-26""",13:12:00,NIFTY,PUT,PE,ATM-8,86.75,86.75,85.5,86.15,260,80405.0,12.18071,25561.45
"=""06-02-26""",13:15:00,NIFTY,PUT,PE,ATM-8,86.15,86.15,83.45,84.0,1690,80080.0,12.070509,25562.9
"=""06-02-26""",13:18:00,NIFTY,PUT,PE,ATM-8,84.0,84.0,84.0,84.0,0,79885.0,12.074834,25563.2
"=""06-02-26""",13:21:00,NIFTY,PUT,PE,ATM-8,84.0,84.0,84.0,84.0,0,79885.0,12.182976,25571.65
